"ref","des","per","day","inv_ref","br","uname"
"JA/INV/24","Invoice No.","50%","7 to 10","24","JA-ELA","asanka"
"JA/QT/59","Invoice No.","","2","59","JA-ELA","asanka"
"JA/INV/25","Invoice No.","50%","7 to 10","25","JA-ELA","asanka"
"JA/QT/18","Invoice No.","0","1 ","18","JA-ELA","asanka"
"JA/QT/19","Invoice No.","0","1","19","JA-ELA","asanka"
"JA/QT/33","Invoice No.","50%","0","33","JA-ELA","asanka"
"JA/QT/45","Invoice No.","50%","40 to 50","45","JA-ELA","asanka"
"JA/QT/51","Invoice No.","50%","35 to 45","51","JA-ELA","asanka"
"JA/QT/63","Invoice No.","50%","4 to 6","63","JA-ELA","admin"
"JA/QT/69","Invoice No.","50%","2 to 4","69","JA-ELA","asanka"
"JA/QT/13","Invoice No.","0","7 to 10","13","JA-ELA","asanka"
"JA/EST/6","Invoice No.","0","1 to 2","6","JA-ELA","asanka"
"JA/INV/15","Perfoma Invoice No.","50%","7 to 10","15","JA-ELA","asanka"
"JA/INV/17","Invoice No.","50%","7 to 10","17","JA-ELA","asanka"
"JA/INV/19","Perfoma Invoice No.","50%","7 to 10","19","JA-ELA","asanka"
"JA/QT/12","Invoice No.","0","3 to 6 Days","12","JA-ELA","asanka"
"JA/QT/56","Invoice No.","50%","10 to 18","56","JA-ELA","asanka"
"JA/QT/57","Invoice No.","50%","10 to 18","57","JA-ELA","asanka"
"JA/QT/65","Invoice No.","50%","10 to 14","65","JA-ELA","admin"
"JA/INV/8","Invoice No.","50%","7 to 10","8","JA-ELA","asanka"
"JA/QT/26","Invoice No.","75%","50 to 70","26","JA-ELA","asanka"
"JA/QT/29","Invoice No.","50%","45 to 50","29","JA-ELA","asanka"
"JA/QT/3","","50%","10 to 15","3","JA-ELA","asanka"
"JA/QT/30","Invoice No.","50%","20 to 25","30","JA-ELA","asanka"
"JA/QT/50","Invoice No.","50%","14 to 21","50","JA-ELA","asanka"
"JA/QT/54","Invoice No.","50%","7 to 10","54","JA-ELA","asanka"
"JA/QT/67","Invoice No.","75%","25 to 30","67","JA-ELA","asanka"
"JA/QT/11","Invoice No.","0","1 to 2 Days","11","JA-ELA","asanka"
"JA/QT/68","Invoice No.","75%","14 to 21","68","JA-ELA","asanka"
"JA/INV/34","Perfoma Invoice No.","50%","7 to 10","34","JA-ELA","asanka"
